modality,cluster_id,cluster_size,feature_name,feature_rank,nmf_importance_score,mean_value,std_value,median_value,q1_value,q3_value
acoustic,0,30,speech_rate,1,1.1828343594028583,175.52165387426047,32.883676418589275,176.99682855688602,156.70845354051124,203.25768531705285
acoustic,0,30,f2,2,1.0844188533000396,1356.9757793193012,132.61992690069158,1393.4905886638267,1323.5143664881846,1431.79902388708
acoustic,0,30,intensity_CV,3,1.0350528247729949,0.6852583765983582,0.08012756837990974,0.7025658190250397,0.6110631376504898,0.7446706295013428
acoustic,0,30,CPP_F1_comp,4,0.9750127305292099,14.961791726791729,1.5667098922176501,15.1625,14.446969696969697,15.813636363636364
acoustic,0,30,f1,5,0.8034581748135317,416.8945826648859,37.778482721623675,414.21011405603406,387.8263792555354,448.7769390367723
acoustic,0,30,f2_d_dx_prc_5,6,0.690263957523916,-0.010652453790617133,0.003342569767150308,-0.01089949630517705,-0.012450456639164026,-0.007737548666573525
acoustic,0,30,CPP_F2_comp,7,0.6857774460871853,14.026277056277054,1.3176985259014058,14.1625,12.875,14.7
acoustic,0,30,fft_ampli2,8,0.638308104711848,0.00046939950132327663,0.00034869732627086436,0.00035928757971925,0.00021622711155215,0.000703855600019575
acoustic,0,30,f2_d_dx_median,9,0.6060356299683121,9.527269514024847e-06,9.504571742277068e-05,7.467874093043937e-06,-6.847419306514607e-05,8.456741260202654e-05
acoustic,0,30,F1_F2_comp,10,0.5983457393065498,9.375951178451178,1.719395880509968,9.316666666666666,8.45625,10.075
acoustic,1,15,f2_d_dx_prc_5,1,1.2656396657182596,-0.007284313655250974,0.002481582360049782,-0.007511767308466,-0.00826773743062095,-0.0051493578531316
acoustic,1,15,f2,2,1.2205709587096125,1406.106149405292,76.15530521630363,1405.8827207824816,1382.022028955285,1440.935567891492
acoustic,1,15,P1amp,3,1.1734403344869984,46.46452407031457,12.246887094937858,46.67510553995768,37.6073887688773,52.207259853490804
acoustic,1,15,f1_d_dx_prc_5,4,1.0522110852396374,-0.0022021567600736,0.0008651075592408899,-0.002077615019049,-0.0028864056062712,-0.0015360368883736001
